left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,nose_x,nose_y,result
195.7820334,142.4919233,79.18068302,149.6144515,244.3059232,219.9361733,18.5007931,220.3634506,244.3059232,219.9361733,18.5007931,220.3634506,143.1537867,107.6729996,1
239.443779,163.3827909,129.102725,157.194556,286.4213161,231.8681783,86.14826298,224.78606,286.4213161,231.8681783,86.14826298,224.78606,181.5469341,93.82960287,1
500.0862303,472.0973225,154.5640585,468.4728236,565.5782295,775.2959983,89.43063718,774.9987763,565.5782295,775.2959983,89.43063718,774.9987763,340.7420637,272.5346311,1
682.4036124,560.6527472,290.6224683,549.9896505,901.4347354,779.0289754,150.8132411,815.8287549,901.4347354,779.0289754,150.8132411,815.8287549,511.8805385,319.6959709,1
733.8593513,537.812643,341.2328292,528.2594079,952.1712857,768.167043,211.954907,801.9942257,952.1712857,768.167043,211.954907,801.9942257,562.6044497,299.8479113,1
717.2726285,548.8883681,321.1258084,540.5992589,953.7090683,764.4830794,175.1193893,810.0040485,953.7090683,764.4830794,175.1193893,810.0040485,537.726447,301.7897352,1
814.5302551,582.704921,424.041741,575.9143569,1032.181286,786.8125424,273.4579086,836.727978,1032.181286,786.8125424,273.4579086,836.727978,640.9081631,335.8504634,1
711.1711435,569.0302718,328.0711169,560.2391243,934.657897,786.9881651,185.3569851,824.3909297,934.657897,786.9881651,185.3569851,824.3909297,542.1038232,335.8317375,1
832.2520928,548.042315,419.5893719,547.2134769,1059.82423,861.3387078,226.5466512,854.6333127,1059.82423,861.3387078,226.5466512,854.6333127,646.2956778,309.1291578,1
696.1185048,517.4505029,295.4313794,519.7911351,930.951777,829.1663957,87.95198321,823.8959861,930.951777,829.1663957,87.95198321,823.8959861,521.428456,286.5448813,1
878.8360117,567.6221312,479.0404124,575.2994648,1115.834932,882.9357424,277.3907784,881.7434237,1115.834932,882.9357424,277.3907784,881.7434237,705.0571724,337.338073,1
772.2608076,579.3932079,369.6269859,576.9082509,1006.015006,898.8475068,159.982612,893.2066392,1006.015006,898.8475068,159.982612,893.2066392,587.6036345,336.9953565,1
177.33494,153.5742238,50.01826501,152.2171125,195.1454215,255.625844,35.82967329,242.1530932,195.1454215,255.625844,35.82967329,242.1530932,110.5420132,79.59731892,1
549.2679291,490.1810532,204.0066605,486.7364273,651.8014069,762.5961227,125.780777,790.8015976,651.8014069,762.5961227,125.780777,790.8015976,371.9159546,278.2478313,1
833.6805604,555.6832732,486.1138654,557.1282687,949.2400014,838.8018547,418.8186404,868.561512,949.2400014,838.8018547,418.8186404,868.561512,662.1192353,354.9941068,1
551.1042238,550.0233114,203.4942252,549.2565715,656.6662664,829.3369031,128.3403118,857.0484066,656.6662664,829.3369031,128.3403118,857.0484066,377.8022153,340.8715153,1
827.7757763,559.5537714,483.1650755,563.1964748,938.1273724,832.5941916,408.4546026,867.3826689,938.1273724,832.5941916,408.4546026,867.3826689,657.5124552,352.8024477,1
